,c,t,ne,Te
371,4300.0,87242,13738.589380542497,8558.94197054404
372,4302.0,87323,15066.082123864519,9999.999998884301
373,4304.0,87394,12896.623794447974,6545.3485030528145
374,4306.0,87475,10577.174020603881,9999.979888412525
375,4308.0,87544,12931.599937795625,9968.427746382047
376,4310.0,87625,11668.561053868223,7734.164082516208
377,4312.0,87708,13175.254979083618,9999.999999863447
378,4314.0,87778,14500.371651042551,9999.999999999685
379,4318.0,88202,15620.93346688806,9999.99999642326
380,4320.0,88283,14712.368860039018,9232.977874288968
381,4322.0,88352,10928.383206322504,9999.999999108031
382,4324.0,88435,14331.22872614427,9999.999999646228
383,4326.0,88504,12296.913146430565,9619.215819486957
384,4328.0,88585,13888.920451448945,9999.999999998068
385,4330.0,88654,14496.043089484201,9999.042016315267
386,4332.0,88738,14512.905427377107,9185.67536686738
387,4334.0,88807,14817.987889214797,9678.335983593792
388,4338.0,88964,14888.4722169114,9577.491524060846
389,4340.0,89050,11163.068217312462,9497.655769188897
390,4342.0,89130,14320.67428749546,9998.356112823798
391,4344.0,89200,11948.489811404963,7350.336122834355
392,4346.0,89280,15042.089221530574,9999.999999999998
393,4348.0,89353,14033.061141139007,9693.06699331984
394,4350.0,89434,13899.437239995648,6934.214901697816
395,4352.0,89503,13867.201362387555,9999.999992941326
396,4354.0,89584,9990.329997996987,9521.413597188566
397,4358.0,89998,13926.858255543395,9999.999999985088
398,4360.0,90067,13421.675109514055,8870.835342072325
399,4362.0,90148,13353.121953786715,7032.897452044648
400,4364.0,90217,14368.862300685763,9999.99999981422
401,4366.0,90301,15560.266134246478,9999.999999413023
402,4368.0,90381,15310.407925704341,9999.999999999998
403,4370.0,90451,11391.01618310005,9999.999999618914
404,4372.0,90530,13617.140441309484,8907.991497328989
405,4374.0,90603,12249.99864071649,9999.999999706264
406,4378.0,90760,14568.743921413798,9999.999999999987
407,4380.0,90843,13405.54614197283,7092.509963663606
408,4382.0,90913,14554.225451068249,9115.58218541358
409,4384.0,90996,13229.937980048875,9934.058289408225
410,4386.0,91065,14044.122964168702,9997.109356516881
